"filename", "language", "JavaScript", "JSON", "Properties", "HTML", "PostCSS", "JavaScript JSX", "Markdown", "XML", "comment", "blank", "total"
"d:\datn\DO-AN\backend\.env", "Properties", 0, 0, 5, 0, 0, 0, 0, 0, 1, 3, 9
"d:\datn\DO-AN\backend\config\momoConfig.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\datn\DO-AN\backend\controllers\accountController.js", "JavaScript", 125, 0, 0, 0, 0, 0, 0, 0, 33, 34, 192
"d:\datn\DO-AN\backend\controllers\cartController.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 10, 51
"d:\datn\DO-AN\backend\controllers\momoController.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 1, 9, 57
"d:\datn\DO-AN\backend\controllers\orderController.js", "JavaScript", 73, 0, 0, 0, 0, 0, 0, 0, 1, 14, 88
"d:\datn\DO-AN\backend\controllers\productController.js", "JavaScript", 81, 0, 0, 0, 0, 0, 0, 0, 2, 19, 102
"d:\datn\DO-AN\backend\controllers\reviewController.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 1, 8, 36
"d:\datn\DO-AN\backend\middleware\authMiddleware.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"d:\datn\DO-AN\backend\models\Account.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"d:\datn\DO-AN\backend\models\Cart.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"d:\datn\DO-AN\backend\models\Product.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"d:\datn\DO-AN\backend\models\db.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"d:\datn\DO-AN\backend\models\momo.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"d:\datn\DO-AN\backend\models\orderModel.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
"d:\datn\DO-AN\backend\models\reviewModel.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"d:\datn\DO-AN\backend\models\statusModel.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"d:\datn\DO-AN\backend\package-lock.json", "JSON", 0, 2056, 0, 0, 0, 0, 0, 0, 0, 1, 2057
"d:\datn\DO-AN\backend\package.json", "JSON", 0, 31, 0, 0, 0, 0, 0, 0, 0, 1, 32
"d:\datn\DO-AN\backend\routes\accountRoutes.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"d:\datn\DO-AN\backend\routes\cartRoutes.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"d:\datn\DO-AN\backend\routes\momoRoutes.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"d:\datn\DO-AN\backend\routes\orderRoutes.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"d:\datn\DO-AN\backend\routes\productRoutes.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\datn\DO-AN\backend\routes\reviewRoutes.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"d:\datn\DO-AN\backend\server.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 2, 5, 43
"d:\datn\DO-AN\frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 5, 0, 0, 4, 9
"d:\datn\DO-AN\frontend\db.json", "JSON", 0, 728, 0, 0, 0, 0, 0, 0, 0, 0, 728
"d:\datn\DO-AN\frontend\eslint.config.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 2, 39
"d:\datn\DO-AN\frontend\index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"d:\datn\DO-AN\frontend\package-lock.json", "JSON", 0, 3488, 0, 0, 0, 0, 0, 0, 0, 1, 3489
"d:\datn\DO-AN\frontend\package.json", "JSON", 0, 36, 0, 0, 0, 0, 0, 0, 0, 1, 37
"d:\datn\DO-AN\frontend\public\index.html", "HTML", 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"d:\datn\DO-AN\frontend\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\datn\DO-AN\frontend\src\Admin\AcountAdmin.css", "PostCSS", 0, 0, 0, 0, 76, 0, 0, 0, 0, 19, 95
"d:\datn\DO-AN\frontend\src\Admin\AcountAdmin.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 103, 0, 0, 0, 10, 113
"d:\datn\DO-AN\frontend\src\Admin\Admin.css", "PostCSS", 0, 0, 0, 0, 38, 0, 0, 0, 4, 7, 49
"d:\datn\DO-AN\frontend\src\Admin\Admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 31, 0, 0, 0, 5, 36
"d:\datn\DO-AN\frontend\src\Admin\Income.css", "PostCSS", 0, 0, 0, 0, 42, 0, 0, 0, 0, 6, 48
"d:\datn\DO-AN\frontend\src\Admin\Income.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 41, 0, 0, 1, 9, 51
"d:\datn\DO-AN\frontend\src\Admin\ManageProducts.css", "PostCSS", 0, 0, 0, 0, 57, 0, 0, 0, 2, 9, 68
"d:\datn\DO-AN\frontend\src\Admin\ManageProducts.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 112, 0, 0, 0, 11, 123
"d:\datn\DO-AN\frontend\src\Admin\ManageUsers.css", "PostCSS", 0, 0, 0, 0, 57, 0, 0, 0, 2, 9, 68
"d:\datn\DO-AN\frontend\src\Admin\ManageUsers.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 60, 0, 0, 4, 8, 72
"d:\datn\DO-AN\frontend\src\Admin\OrderManagement.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 116, 0, 0, 0, 9, 125
"d:\datn\DO-AN\frontend\src\Admin\ProductCreate.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 105, 0, 0, 0, 12, 117
"d:\datn\DO-AN\frontend\src\Admin\ProductEdit.css", "PostCSS", 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"d:\datn\DO-AN\frontend\src\Admin\ProductEdit.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 169, 0, 0, 0, 16, 185
"d:\datn\DO-AN\frontend\src\Admin\Reviews.css", "PostCSS", 0, 0, 0, 0, 72, 0, 0, 0, 0, 14, 86
"d:\datn\DO-AN\frontend\src\Admin\Reviews.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 66, 0, 0, 4, 25, 95
"d:\datn\DO-AN\frontend\src\App.css", "PostCSS", 0, 0, 0, 0, 37, 0, 0, 0, 0, 6, 43
"d:\datn\DO-AN\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 61, 0, 0, 2, 3, 66
"d:\datn\DO-AN\frontend\src\Components\About.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 7, 23
"d:\datn\DO-AN\frontend\src\Components\Account.css", "PostCSS", 0, 0, 0, 0, 74, 0, 0, 0, 0, 16, 90
"d:\datn\DO-AN\frontend\src\Components\Account.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 134, 0, 0, 3, 10, 147
"d:\datn\DO-AN\frontend\src\Components\Cart.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 103, 0, 0, 1, 13, 117
"d:\datn\DO-AN\frontend\src\Components\Contact.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 38, 5, 43
"d:\datn\DO-AN\frontend\src\Components\Danhgia.css", "PostCSS", 0, 0, 0, 0, 68, 0, 0, 0, 8, 10, 86
"d:\datn\DO-AN\frontend\src\Components\Danhgia.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 131, 0, 0, 0, 19, 150
"d:\datn\DO-AN\frontend\src\Components\ForgotPassword.css", "PostCSS", 0, 0, 0, 0, 16, 0, 0, 0, 0, 2, 18
"d:\datn\DO-AN\frontend\src\Components\ForgotPassword.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 72, 0, 0, 4, 16, 92
"d:\datn\DO-AN\frontend\src\Components\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 0, 8, 20
"d:\datn\DO-AN\frontend\src\Components\LoginSignup\LoginSignup.css", "PostCSS", 0, 0, 0, 0, 117, 0, 0, 0, 0, 13, 130
"d:\datn\DO-AN\frontend\src\Components\LoginSignup\LoginSignup.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 181, 0, 0, 4, 18, 203
"d:\datn\DO-AN\frontend\src\Components\Page.css", "PostCSS", 0, 0, 0, 0, 21, 0, 0, 0, 0, 4, 25
"d:\datn\DO-AN\frontend\src\Components\Page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 96, 0, 0, 2, 17, 115
"d:\datn\DO-AN\frontend\src\Components\Productdetails.css", "PostCSS", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\datn\DO-AN\frontend\src\Components\Productdetails.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 67, 0, 0, 0, 18, 85
"d:\datn\DO-AN\frontend\src\Components\Products.css", "PostCSS", 0, 0, 0, 0, 22, 0, 0, 0, 3, 2, 27
"d:\datn\DO-AN\frontend\src\Components\Products.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 103, 0, 0, 0, 13, 116
"d:\datn\DO-AN\frontend\src\Components\ResetPassword.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 51, 0, 0, 0, 6, 57
"d:\datn\DO-AN\frontend\src\Components\Search.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 45, 0, 0, 0, 9, 54
"d:\datn\DO-AN\frontend\src\Components\Thanhtoan.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 164, 0, 0, 0, 20, 184
"d:\datn\DO-AN\frontend\src\Components\Trangcapnhat.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 44, 0, 0, 0, 7, 51
"d:\datn\DO-AN\frontend\src\Components\VerifyEmail.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 0, 6, 32
"d:\datn\DO-AN\frontend\src\index.css", "PostCSS", 0, 0, 0, 0, 61, 0, 0, 0, 0, 8, 69
"d:\datn\DO-AN\frontend\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 0, 2, 21
"d:\datn\DO-AN\frontend\src\redux\action\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 0, 3, 21
"d:\datn\DO-AN\frontend\src\redux\reducer\handleCart.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 4, 7, 40
"d:\datn\DO-AN\frontend\src\redux\reducer\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"d:\datn\DO-AN\frontend\src\redux\store.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"d:\datn\DO-AN\frontend\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 676, 6339, 5, 23, 774, 2187, 5, 1, 128, 621, 10759